"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"3'(2'),5'-bisphosphate nucleotidase",0.908489742470537,0.128902082553068,0.782599469496021,1.72770527302662,0.163033987632906,65,0.996477567667779,3.25920590872528,0.18720369874819,93,0.248244447971127,-0.861562463611005,155.714518687395,0.390253124839634,0.579333573480432,-0.241605596375992,0.293786745094662,0.41211346773593,0.634608817661025
"3-deoxy-manno-octulosonate-8-phosphatase",0.907398515931907,0.131992673789485,0.78631299734748,1.82382430485686,0.167507717611268,65,0.992028179458658,3.41117302861361,0.191518353892168,93,0.254436859234078,-0.808511717722168,155.654792942726,0.420030069147168,0.579333573480432,-0.232396584976515,0.300980493856202,0.441204571188261,0.634608817661025
"Glutamine--fructose-6-phosphate transaminase (isomerizing)",0.906986368062317,0.136143353020439,0.780710059171598,1.91049763882567,0.171441743360679,65,0.995244003308519,3.64942159694156,0.198093645633149,93,0.261979701134994,-0.818895293060802,155.791510472973,0.414097043306635,0.579333573480432,-0.242784098696882,0.310819307283283,0.43592150684488,0.634608817661025
"Fructan beta-fructosidase",0.903820909517112,0.136359054392955,0.765356125356125,1.91457751661918,0.1716247031089,65,1.00059737156511,3.65855886274306,0.198341479802235,93,0.262286830259086,-0.896885466863195,155.79358707768,0.371163865117538,0.579333573480432,-0.268011223346478,0.313329467753548,0.393660637180835,0.634608817661025
"Protein-tyrosine-phosphatase",0.900248643761302,0.131036153816085,0.777582417582418,1.79285056907378,0.166079247491338,65,0.985983102918587,3.36442054030588,0.190201379988489,93,0.252505210632998,-0.825332217159938,155.678668588941,0.410445919557262,0.579333573480432,-0.23744957569955,0.301316248941409,0.4318684908984,0.634608817661025
"Diaminopimelate dehydrogenase",0.898214285714286,0.127151878152585,0.78032967032967,1.67988605033359,0.160761938201687,65,0.980606758832565,3.17397997943918,0.1847398630053,93,0.244894299152879,-0.817810333665091,155.724849309415,0.414715043242636,0.579333573480432,-0.228455037082106,0.292681594444283,0.436245150215295,0.634608817661025
"Phosphoglycerate dehydrogenase",0.898214285714286,0.127151878152585,0.78032967032967,1.67988605033359,0.160761938201687,65,0.980606758832565,3.17397997943918,0.1847398630053,93,0.244894299152879,-0.817810333665091,155.724849309415,0.414715043242636,0.579333573480432,-0.228455037082106,0.292681594444283,0.436245150215295,0.634608817661025
"Phosphoserine transaminase",0.898214285714286,0.127151878152585,0.78032967032967,1.67988605033359,0.160761938201687,65,0.980606758832565,3.17397997943918,0.1847398630053,93,0.244894299152879,-0.817810333665091,155.724849309415,0.414715043242636,0.579333573480432,-0.228455037082106,0.292681594444283,0.436245150215295,0.634608817661025
"Uroporphyrinogen-III synthase",0.897359231776517,0.128234872485064,0.769867374005305,1.68381252858319,0.160949706840519,65,0.986466444197256,3.24299390905215,0.186737522335155,93,0.24652730148996,-0.878600742728579,155.835528651775,0.380970474126537,0.579333573480432,-0.247911051417957,0.29595281842381,0.403497117371643,0.634608817661025
"Bacterial non-heme ferritin",0.897084086799277,0.130714683643959,0.784175824175824,1.77497846350078,0.165249390246788,65,0.97599846390169,3.35692445807215,0.189989373162696,93,0.251800164598218,-0.761805060897976,155.731175070945,0.447328522570254,0.579333573480432,-0.218827751803637,0.300983756885411,0.468290021349427,0.634608817661025
"Enoyl-[acyl-carrier-protein] reductase (NADH)",0.897084086799277,0.130714683643959,0.784175824175824,1.77497846350078,0.165249390246788,65,0.97599846390169,3.35692445807215,0.189989373162696,93,0.251800164598218,-0.761805060897976,155.731175070945,0.447328522570254,0.579333573480432,-0.218827751803637,0.300983756885411,0.468290021349427,0.634608817661025
"Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)",0.897084086799277,0.130714683643959,0.784175824175824,1.77497846350078,0.165249390246788,65,0.97599846390169,3.35692445807215,0.189989373162696,93,0.251800164598218,-0.761805060897976,155.731175070945,0.447328522570254,0.579333573480432,-0.218827751803637,0.300983756885411,0.468290021349427,0.634608817661025
"o-succinylbenzoate--CoA ligase",0.897084086799277,0.130714683643959,0.784175824175824,1.77497846350078,0.165249390246788,65,0.97599846390169,3.35692445807215,0.189989373162696,93,0.251800164598218,-0.761805060897976,155.731175070945,0.447328522570254,0.579333573480432,-0.218827751803637,0.300983756885411,0.468290021349427,0.634608817661025
"Phosphoribosylanthranilate isomerase",0.897084086799277,0.130714683643959,0.784175824175824,1.77497846350078,0.165249390246788,65,0.97599846390169,3.35692445807215,0.189989373162696,93,0.251800164598218,-0.761805060897976,155.731175070945,0.447328522570254,0.579333573480432,-0.218827751803637,0.300983756885411,0.468290021349427,0.634608817661025
"Lipoyl synthase",0.89694551458448,0.136803156758952,0.778595317725753,2.16725089064999,0.182598798995545,65,0.979663394109397,3.52169604721391,0.194596247220771,93,0.266852057940393,-0.753481453114959,153.863007203858,0.452312091189145,0.579333573480432,-0.229717615816208,0.316635435313006,0.469234978934209,0.634608817661025
